ClientKey,ClientName,Industry,ClientTier,CountryKey,ClientCountry,RegionKey,ClientRegion,RegionCode
340,Client 0340,Logistics,Tier 2,10,France,3,"Europe, Middle East & Africa",EMEA
341,Client 0341,Manufacturing,Tier 2,22,Egypt,6,Middle East & Africa,MEA
342,Client 0342,Telecom,Tier 2,1,United States,1,North America,NA
343,Client 0343,Healthcare,Tier 2,22,Egypt,6,Middle East & Africa,MEA
344,Client 0344,Retail,Tier 2,26,South Africa,6,Middle East & Africa,MEA
345,Client 0345,Manufacturing,Tier 2,24,UAE,6,Middle East & Africa,MEA
346,Client 0346,Healthcare,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
347,Client 0347,Telecom,Tier 2,18,South Korea,4,Asia Pacific,APAC
348,Client 0348,Banking,Tier 3,18,South Korea,4,Asia Pacific,APAC
349,Client 0349,Logistics,Tier 3,14,India,4,Asia Pacific,APAC
350,Client 0350,Logistics,Tier 1,15,China,4,Asia Pacific,APAC
351,Client 0351,Energy,Tier 3,12,Italy,3,"Europe, Middle East & Africa",EMEA
352,Client 0352,Telecom,Tier 2,4,Brazil,2,Latin America,LATAM
353,Client 0353,Healthcare,Tier 3,27,Nigeria,6,Middle East & Africa,MEA
354,Client 0354,Public Sector,Tier 3,3,Mexico,1,North America,NA
355,Client 0355,Energy,Tier 2,20,Australia,5,Australia & New Zealand,ANZ
356,Client 0356,Retail,Tier 1,12,Italy,3,"Europe, Middle East & Africa",EMEA
357,Client 0357,Logistics,Tier 2,7,Colombia,2,Latin America,LATAM
358,Client 0358,Public Sector,Tier 2,11,Netherlands,3,"Europe, Middle East & Africa",EMEA
359,Client 0359,Logistics,Tier 2,1,United States,1,North America,NA
360,Client 0360,Energy,Tier 2,6,Chile,2,Latin America,LATAM
361,Client 0361,Telecom,Tier 1,15,China,4,Asia Pacific,APAC
362,Client 0362,Manufacturing,Tier 3,15,China,4,Asia Pacific,APAC
363,Client 0363,Logistics,Tier 3,19,Malaysia,4,Asia Pacific,APAC
364,Client 0364,Public Sector,Tier 2,11,Netherlands,3,"Europe, Middle East & Africa",EMEA
365,Client 0365,Banking,Tier 1,26,South Africa,6,Middle East & Africa,MEA
366,Client 0366,Banking,Tier 2,23,Saudi Arabia,6,Middle East & Africa,MEA
367,Client 0367,Manufacturing,Tier 1,26,South Africa,6,Middle East & Africa,MEA
368,Client 0368,Public Sector,Tier 3,2,Canada,1,North America,NA
369,Client 0369,Logistics,Tier 1,14,India,4,Asia Pacific,APAC
370,Client 0370,Retail,Tier 2,2,Canada,1,North America,NA
371,Client 0371,Telecom,Tier 2,4,Brazil,2,Latin America,LATAM
372,Client 0372,Manufacturing,Tier 2,17,Singapore,4,Asia Pacific,APAC
373,Client 0373,Logistics,Tier 2,3,Mexico,1,North America,NA
374,Client 0374,Public Sector,Tier 3,13,Spain,3,"Europe, Middle East & Africa",EMEA
375,Client 0375,Public Sector,Tier 1,9,Germany,3,"Europe, Middle East & Africa",EMEA
376,Client 0376,Manufacturing,Tier 1,7,Colombia,2,Latin America,LATAM
377,Client 0377,Manufacturing,Tier 1,15,China,4,Asia Pacific,APAC
378,Client 0378,Healthcare,Tier 3,23,Saudi Arabia,6,Middle East & Africa,MEA
379,Client 0379,Banking,Tier 3,11,Netherlands,3,"Europe, Middle East & Africa",EMEA
380,Client 0380,Public Sector,Tier 2,20,Australia,5,Australia & New Zealand,ANZ
381,Client 0381,Public Sector,Tier 2,2,Canada,1,North America,NA
382,Client 0382,Logistics,Tier 2,15,China,4,Asia Pacific,APAC
383,Client 0383,Logistics,Tier 1,14,India,4,Asia Pacific,APAC
384,Client 0384,Telecom,Tier 3,20,Australia,5,Australia & New Zealand,ANZ
385,Client 0385,Public Sector,Tier 2,22,Egypt,6,Middle East & Africa,MEA
386,Client 0386,Logistics,Tier 2,11,Netherlands,3,"Europe, Middle East & Africa",EMEA
387,Client 0387,Public Sector,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
388,Client 0388,Retail,Tier 1,3,Mexico,1,North America,NA
389,Client 0389,Manufacturing,Tier 1,17,Singapore,4,Asia Pacific,APAC
390,Client 0390,Banking,Tier 3,12,Italy,3,"Europe, Middle East & Africa",EMEA
391,Client 0391,Logistics,Tier 1,24,UAE,6,Middle East & Africa,MEA
392,Client 0392,Telecom,Tier 2,21,New Zealand,5,Australia & New Zealand,ANZ
393,Client 0393,Retail,Tier 1,15,China,4,Asia Pacific,APAC
394,Client 0394,Energy,Tier 2,16,Japan,4,Asia Pacific,APAC
395,Client 0395,Telecom,Tier 2,5,Argentina,2,Latin America,LATAM
396,Client 0396,Healthcare,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
397,Client 0397,Banking,Tier 3,20,Australia,5,Australia & New Zealand,ANZ
398,Client 0398,Energy,Tier 2,6,Chile,2,Latin America,LATAM
399,Client 0399,Manufacturing,Tier 2,19,Malaysia,4,Asia Pacific,APAC
400,Client 0400,Public Sector,Tier 2,25,Qatar,6,Middle East & Africa,MEA
401,Client 0401,Manufacturing,Tier 2,5,Argentina,2,Latin America,LATAM
402,Client 0402,Public Sector,Tier 3,3,Mexico,1,North America,NA
403,Client 0403,Telecom,Tier 3,27,Nigeria,6,Middle East & Africa,MEA
404,Client 0404,Telecom,Tier 1,1,United States,1,North America,NA
405,Client 0405,Public Sector,Tier 1,26,South Africa,6,Middle East & Africa,MEA
406,Client 0406,Manufacturing,Tier 2,6,Chile,2,Latin America,LATAM
407,Client 0407,Banking,Tier 2,15,China,4,Asia Pacific,APAC
408,Client 0408,Banking,Tier 1,2,Canada,1,North America,NA
409,Client 0409,Public Sector,Tier 2,3,Mexico,1,North America,NA
410,Client 0410,Telecom,Tier 2,17,Singapore,4,Asia Pacific,APAC
411,Client 0411,Energy,Tier 2,25,Qatar,6,Middle East & Africa,MEA
412,Client 0412,Retail,Tier 3,24,UAE,6,Middle East & Africa,MEA
413,Client 0413,Banking,Tier 1,12,Italy,3,"Europe, Middle East & Africa",EMEA
414,Client 0414,Banking,Tier 1,18,South Korea,4,Asia Pacific,APAC
415,Client 0415,Healthcare,Tier 3,15,China,4,Asia Pacific,APAC
416,Client 0416,Telecom,Tier 2,12,Italy,3,"Europe, Middle East & Africa",EMEA
417,Client 0417,Manufacturing,Tier 2,16,Japan,4,Asia Pacific,APAC
418,Client 0418,Manufacturing,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
419,Client 0419,Logistics,Tier 1,8,United Kingdom,3,"Europe, Middle East & Africa",EMEA
420,Client 0420,Healthcare,Tier 3,14,India,4,Asia Pacific,APAC
